"country","year","preamble"
"iraq",2005,"In the name of God, the Most merciful, the Most compassionate We have honored the sons of Adam We, the people of Mesopotamia, the homeland of the apostles and prophets, resting place of the virtuous imams, cradle of civilization, crafters of writing, and home of numeration. Upon our land the first law made by man was passed, and the oldest pact of just governance was inscribed, and upon our soil the saints and companions of the Prophet prayed, philosophers and scientists theorized, and writers and poets excelled; Acknowledging God's right over us, and in fulfillment of the call of our homeland and citizens, and in a response to the call of our religious and national leaderships and the determination of our great authorities and of our leaders and politicians, and in the midst of international support from our friends and those who love us, marched for the first time in our history towards the ballot boxes by the millions, men and women, young and old, on the thirtieth of January 2005, invoking the pains of sectarian oppression inflicted by the autocratic clique and inspired by the tragedies of Iraq's martyrs, Shiite and Sunni, Arabs and Kurds and Turkmen and from all other components of the people, and recollecting the darkness of the ravage of the holy cities and the South in the Sha'abaniyya uprising and burnt by the flames of grief of the mass graves, the marshes, Al-Dujail and others and articulating the sufferings of racial oppression in the massacres of Halabcha, Barzan, Anfal and the Fayli Kurds and inspired by the ordeals of the Turkmen in Bashir and the sufferings of the people of the western region, as is the case in the remaining areas of Iraq where the people suffered from the liquidation of their leaders, symbols, and Sheiks and from the displacement of their skilled individuals and from drying out of its cultural and intellectual wells, so we sought hand in hand and shoulder to shoulder to create our new Iraq, the Iraq of the future, free from sectarianism, racism, complex of regional attachment, discrimination, and exclusion. Accusations of being infidels, and terrorism did not stop us from marching forward to build a nation of law. Sectarianism and racism have not stopped us from marching together to strengthen our national unity, following the path of peaceful transfer of power, adopting the course of just distribution of resources, and providing equal opportunity for all. We, the people of Iraq, who have just risen from our stumble, and who are looking with confidence to the future through a republican, federal, democratic, pluralistic system, have resolved with the determination of our men, women, elderly, and youth to respect the rule of law, to establish justice and equality, to cast aside the politics of aggression, to pay attention to women and their rights, the elderly and their concerns, and children and their affairs, to spread the culture of diversity, and to defuse terrorism. We, the people of Iraq, of all components and across the spectrum, have taken upon ourselves to decide freely and by choice to unite our future, to take lessons from yesterday for tomorrow, and to enact this permanent Constitution, through the values and ideals of the heavenly messages and the findings of science and man's civilization. The adherence to this Constitution preserves for Iraq its free union of people, of land, and of sovereignty."
"ireland",1937,"In the Name of the Most Holy Trinity, from Whom is all authority and to Whom, as our final end, all actions both of men and States must be referred, We, the people of ire, Humbly acknowledging all our obligations to our Divine Lord, Jesus Christ, Who sustained our fathers through centuries of trial, Gratefully remembering their heroic and unremitting struggle to regain the rightful independence of our Nation, And seeking to promote the common good, with due observance of Prudence, Justice and Charity, so that the dignity and freedom of the individual may be assured, true social order attained, the unity of our country restored, and concord established with other nations, Do hereby adopt, enact, and give to ourselves this Constitution."
"japan",1946,"We, the Japanese people, acting through our duly elected representatives in the National Diet, determined that we shall secure for ourselves and our posterity the fruits of peaceful cooperation with all nations and the blessings of liberty throughout this land, and resolved that never again shall we be visited with the horrors of war through the action of government, do proclaim that sovereign power resides with the people and do firmly establish this Constitution. Government is a sacred trust of the people, the authority for which is derived from the people, the powers of which are exercised by the representatives of the people, and the benefits of which are enjoyed by the people. This is a universal principle of mankind upon which this Constitution is founded. We reject and revoke all constitutions, laws, ordinances, and rescripts in conflict herewith. We, the Japanese people, desire peace for all time and are deeply conscious of the high ideals controlling human relationship, and we have determined to preserve our security and existence, trusting in the justice and faith of the peace- loving peoples of the world. We desire to occupy an honored place in an international society striving for the preservation of peace, and the banishment of tyranny and slavery, oppression and intolerance for all time from the earth. We recognize that all peoples of the world have the right to live in peace, free from fear and want. We believe that no nation is responsible to itself alone, but that laws of political morality are universal; and that obedience to such laws is incumbent upon all nations who would sustain their own sovereignty and justify their sovereign relationship with other nations. We, the Japanese people, pledge our national honor to accomplish these high ideals and purposes with all our resources."
"jordan",1952,"We, Talal the First, King of the Hashemite Kingdom of Jordan, in accordance with Article 25 of the Constitution, and in pursuance of the decision of the Senate and the House of Representatives, hereby approve the following amended Constitution and decree its promulgation."
"kazakhstan",1995,"We, the people of Kazakhstan, united by common historic fate, creating state on the indigenous Kazakh land, considering ourselves peace-loving and civil society, dedicated to the ideals of freedom, equality and concord, wishing to take worthy place in the world community, realizing our high responsibility before the present and future generations, proceeding from our sovereign right, accept this Constitution."
"kenya",2010,"We, the people of Kenya - ACKNOWLEDGING the supremacy of the Almighty God of all creation: HONOURING those who heroically struggled to bring freedom and justice to our land: PROUD of our ethnic, cultural and religious diversity, and determined to live in peace and unity as one indivisible sovereign nation: RESPECTFUL of the environment, which is our heritage, and determined to sustain it for the benefit of future generations: COMMITTED to nurturing and protecting the well-being of the individual, the family, communities and the nation: RECOGNISING the aspirations of all Kenyans for a government based on the essential values of human rights, equality, freedom, democracy, social justice and the rule of law: EXERCISING our sovereign and inalienable right to determine the form of governance of our country and having participated fully in the making of this Constitution: ADOPT, ENACT and give this Constitution to ourselves and to our future generations. GOD BLESS KENYA"
"kiribati",1979,"We the people of Kiribati, acknowledging God as the Almighty Father in whom we put our trust, and with faith in the enduring value of our traditions and heritage, do now grant ourselves this Constitution establishing a sovereign democratic State. In implementing this Constitution, we declare that 1. the will of the people shall ultimately be paramount in the conduct of the government of Kiribati; 2. the principles of equality and justice shall be upheld; 3. the natural resources of Kiribati are vested in the people and their Government; 4. we shall continue to cherish and uphold the customs and traditions of Kiribati."
"korea_democratic_people's_republic_of",1972,"The Democratic Peoples Republic of Korea is a socialist fatherland of Juche which embodies the idea of and guidance by the great leader Comrade Kim II Sung. The great leader Comrade Kim II Sung is the founder of the DPRK and the socialist Korea. Comrade Kim II Sung founded the immortal Juche idea, organized and guided an anti-Japanese revolutionary struggle under its banner, created revolutionary tradition, attained the historical cause of the national liberation, and founded the DPRK, built up a solid basis of construction of a sovereign and independent state in the fields of politics, economy, culture and military, and founded the DPRK. Comrade Kim II Sung put forward an independent revolutionary line, wisely guided the social revolution and construction at various levels, strengthened and developed the Republic into a people-centered socialist country and a socialist state of independence, self-sustenance, and self-defense. Comrade Kim II Sung clarified the fundamental principle of State building and activities, established the most superior state social system and political method, and social management system and method, and provided a firm basis for the prosperous and powerful socialist fatherland and the continuation of the task of completing the Juche revolutionary cause. Comrade Kim II Sung regarded believing in the people as in heaven as his motto, was always with the people, devoted his whole life to them, took care of and guided them with a noble politics of benevolence, and turned the whole society into one big and united family. The great leader Comrade Kim II Sung is the sun of the nation and the lodestar of the reunification of the fatherland. Comrade Kim II Sung set the reunification of the country as the nations supreme task, and devoted all his work and endeavors entirely to its realization. Comrade Kim II Sung, while turning the Republic into a mighty fortress for national reunification, indicated fundamental principles and methods for national reunification, developed the national reunification movement into a pan-national movement, and opened up a way for that cause, to be attained by the united strength of the entire nation. The great leader Comrade Kim II Sung made clear the fundamental idea of the Republics external policy, expanded and developed diplomatic relations on this basis, and heightened the international prestige of the Republic. Comrade Kim II Sung as a veteran world political leader, hew out a new era of independence, vigorously worked for the reinforcement and development of the socialist movement and the nonaligned movement, and for world peace and friendship between peoples, and made an immortal contribution to the mankinds independent cause. Comrade Kim II Sung was a genius ideological theoretician and a genius art leader, an ever-victorious, iron-willed brilliant commander, a great revolutionary and politician, and a great human being. Comrade Kim II Sungs great idea and achievements in leadership are the eternal treasures of the nation and a fundamental guarantee for the prosperity and efflorescence of the DPRK. The DPRK and the entire Korean people will uphold the great leader Comrade Kim II Sung as the eternal President of the Republic, defend and carry forward his ideas and exploits and complete the Juche revolution under the leadership of the Workers Party of Korea. The DPRK Socialist Constitution is a Kim II Sung constitution which legally embodies Comrade Kim II Sungs Juche state construction ideology and achievements."
"korea_republic_of",1948,"We the people of Korea, proud of a resplendent history and traditions dating from time immemorial, upholding the cause of the Provisional Republic of Korea Government born of the March First Independence Movement of 1919 and the democratic ideals of the April Nineteenth Uprising of 1960 against injustice, having assumed the mission of democratic reform and peaceful unification of our homeland and having determined to consolidate national unity with justice, humanitarianism and brotherly love, and To destroy all social vices and injustice, and To afford equal opportunities to every person and provide for the fullest development of individual capabilities in all fields, including political, economic, civic and cultural life by further strengthening the basic free and democratic order conducive to private initiative and public harmony, and To help each person discharge those duties and responsibilities concomitant to freedoms and rights, and To elevate the quality of life for all citizens and contribute to lasting world peace and the common prosperity of mankind and thereby to ensure security, liberty and happiness for ourselves and our posterity forever, Do hereby amend, through national referendum following a resolution by the National Assembly, the Constitution, ordained and established on the Twelfth Day of July anno Domini Nineteen hundred and forty-eight, and amended eight times subsequently. The Day of October anno Domini Nineteen hundred and eighty-seven."
"kosovo",2008,"We, the people of Kosovo, Determined to build a future of Kosovo as a free, democratic and peace-loving country that will be a homeland to all of its citizens; Committed to the creation of a state of free citizens that will guarantee the rights of every citizen, civil freedoms and equality of all citizens before the law; Committed to the state of Kosovo as a state of economic wellbeing and social prosperity; Convinced that the state of Kosovo will contribute to the stability of the region and entire Europe by creating relations of good neighborliness and cooperation with all neighboring countries; Convinced that the state of Kosovo will be a dignified member of the family of peace-loving states in the world; With the intention of having the state of Kosovo fully participating in the processes of Euro-Atlantic integration; In a solemn manner, we approve the Constitution of the Republic of Kosovo."
"kuwait",1962,"In the Name of God the Compassionate, the Merciful We, Abdallah Al Salem Al Sabah, Amir of the State of Kuwait, Desirous of fulfilling all of the exigencies of democratic rule in our beloved homeland; Confident in the role this Nation can play in the wake of Arab nationalism, of service to world peace and of civilization; Striving towards a better future in which the Nation may enjoy an abundance of comfort and a higher international standing, a future which shall provide citizens with ample political freedom, equality and social justice as well, which shall brace the props of those traits in which the Arab spirit is kneaded such as pride in the dignity of the individual, jealous watch over the commune bonum, counsel in rule and safeguard of the homeland's unity and stability; After perusal of Ordinance No. 1/1962 regarding the organic system of rule during the transitional period; And in accordance with the decision of the Constituent Assembly: Hereby sanction and promulgate this Constitution."
"kyrgyzstan",2010,"We, the people of Kyrgyzstan, Paying tribute to the memory of heroes who rendered life for freedom of the people; Confirming adherence to the goal to build free and democratic state based on respect and protection of human rights; Expressing unwavering commitment and firm will to develop and enhance the Kyrgyz statehood, protect state sovereignty and the unity of the people; Aspiring to strengthen the rule of law as well as ensure social justice, economic welfare and  spiritual development of the people; Acting on behest of our ancestors to live in peace and accord, in harmony with nature, hereby adopt the present Constitution."
"lao_people's_democratic_republic",1991,"The multi-ethnic Lao people have existed and developed on this beloved land for thousands of years. Starting from the middle of the 14th century, during the time of Chao Fa Ngum, our ancestors founded the unified Lane Xang country and built it into a prosperous land. Since the 18th century, the Lao land has been repeatedly threatened and invaded by outside powers. Our people enhanced the heroic and unyielding traditions of their ancestors and continually and persistently fought to gain independence and freedom. Since the 1930s, under the correct leadership of the former Indochinese Communist Party and the present Lao Peoples Revolutionary Party, the multi-ethnic Lao people have carried out difficult and arduous struggles full of great sacrifices until they managed to crush the yokes of domination and oppression of the colonial and feudal regimes, completely liberate the country and establish the Lao Peoples Democratic Republic on 2 December 1975, thus opening a new era  an era of genuine independence for the country and freedom for the people. During [the years] since the country has been liberated, our people have together been implementing the two strategic tasks of defending and building the country, especially the undertaking of reforms in order to mobilise the resources within the nation to preserve the peoples democratic regime and create conditions to move towards socialism. Now, in this new period, the social life requires that the State must have a constitution. This Constitution is the constitution of the peoples democratic regime in our country. It recognises the great achievements of our people in the course of their struggles for national liberation [and their] protection and construction of the country[,] and [it] defines the political regime, the socioeconomic system, the regimes of national security, defence and foreign affairs, the rights and obligations of citizens and the system of organisation of state apparatus in the new period. This is the first time in the history of our nation that the right of self-determination of the people has been defined in the fundamental law of the country. This Constitution is the fruit of the process of the peoples discussions throughout the country. It reflects the long-standing aspirations and strong determination of the national community to strive together to fulfil the objective of building Laos into a country of peace, independence, democracy, unity and prosperity."
"latvia",1922,"The people of Latvia, in freely elected Constitutional Assembly, have adopted the following State Constitution: The State of Latvia, proclaimed on 18 November 1918, has been established by uniting historical Latvian lands and on the basis of the unwavering will of the Latvian nation to have its own State and its inalienable right of self-determination in order to guarantee the existence and development of the Latvian nation, its language and culture throughout the centuries, to ensure freedom and promote welfare of the people of Latvia and each individual. The people of Latvia won their State in the War of Liberation. They consolidated the system of government and adopted the Constitution in a freely elected Constitutional Assembly. The people of Latvia did not recognise the occupation regimes, resisted them and regained their freedom by restoring national independence on 4 May 1990 on the basis of continuity of the State. They honour their freedom fighters, commemorate victims of foreign powers, condemn the Communist and Nazi totalitarian regimes and their crimes. Latvia as democratic, socially responsible and national state is based on the rule of law and on respect for human dignity and freedom; it recognises and protects fundamental human rights and respects ethnic minorities. The people of Latvia protect their sovereignty, national independence, territory, territorial integrity and democratic system of government of the State of Latvia. Since ancient times, the identity of Latvia in the European cultural space has been shaped by Latvian and Liv traditions, Latvian folk wisdom, the Latvian language, universal human and Christian values. Loyalty to Latvia, the Latvian language as the only official language, freedom, equality, solidarity, justice, honesty, work ethic and family are the foundations of a cohesive society. Each individual takes care of oneself, ones relatives and the common good of society by acting responsibly toward other people, future generations, the environment and nature. While acknowledging its equal status in the international community, Latvia protects its national interests and promotes sustainable and democratic development of a united Europe and the world. God, bless Latvia!"
"liberia",1986,"We the People of the Republic of Liberia: Acknowledging our devout gratitude to God for our existence as a Free, Sovereign and Independent State, and relying on His Divine Guidance for our survival as a Nation; Realizing from many experiences during the course of our national existence which culminated in the Revolution of April 12, 1980, when our Constitution of July 26, 1847 was suspended, that all of our people, irrespective of history, tradition, creed, or ethnic background are of one common body politic; Exercising our natural, inherent and inalienable rights to establish a framework of government for the purpose of promoting unity, liberty, peace, stability, equality, justice and human rights under the rule of law, with opportunities for political, social, moral, spiritual and cultural advancement of our society, for ourselves and for our posterity; and Having resolved to live in harmony, to practice fraternal love, tolerance and understanding as a people and being fully mindful of our obligation to promote African unity and international peace and cooperation, Do hereby solemnly make, establish, proclaim, and publish this Constitution for the governance of the Republic of Liberia."
"libya",2011,"In The Name of Allah, the Merciful, the Compassionate Believing in the Revolution of 17th of February, 2011 (14th Rabi El-Awal, 1432 Hijri), lead by the Libyan people in the different regions of the country, and being faithful to the martyrs of this blessed revolution who sacrificed their lives to obtain freedom, live in dignity in the territory of their country and recover their rights derided by Kadhafi and his fallen regime; Based on the legitimacy of this revolution, and in response to the desire of the Libyan people and their aspirations for achieving democracy and promoting the principles of political pluralism and statehood based on institutions, and aspiring to a society enjoying stability, tranquility and justice which develop through science and culture, achieves prosperity and sanitary well-being and works on educating the future generations in the spirit of Islam and love of the good and of the country; With the objective of establishing a society of citizenship, justice, equality, progress, development and prosperity in which there is no place for despotism, repression, tyranny, exploitation and individual power, the National Transitional Council has decided to promulgate this Constitutional Declaration as a basis for the exercise of power in the transitional period until the adoption of a permanent Constitution by general popular referendum."
"liechtenstein",1921,"We, John II, by the Grace of God, Prince Regnant of Liechtenstein, Duke of Troppau, Count of Rietberg, etc. etc. etc. make known that the Constitution of 26 September 1862 has been modified by Us with the assent of Our Diet as follows:"
"lithuania",1992,"THE LITHUANIAN NATION  having created the State of Lithuania many centuries ago,  having based its legal foundations on the Lithuanian Statutes and the Constitutions of the Republic of Lithuania,  having for centuries staunchly defended its freedom and independence,  having preserved its spirit, native language, writing, and customs,  embodying the innate right of the human being and the Nation to live and create freely in the land of their fathers and forefathersin the independent State of Lithuania,  fostering national concord in the land of Lithuania,  striving for an open, just, and harmonious civil society and State under the rule of law, by the will of the citizens of the reborn State of Lithuania, adopts and proclaims this"
"macedonia_the_former_yugoslav_republic_of",1991,"Taking as the points of departure the historical, cultural, spiritual and statehood heritage of the Macedonian people and their struggle over centuries for national and social freedom as well as for the creation of their own state, and particularly the traditions of statehood and legality of the Krushevo Republic and the historic decisions of the Anti-Fascist Assembly of the People's Liberation of Macedonia, together with the constitutional and legal continuity of the Macedonian state as a sovereign republic within Federal Yugoslavia and the freely manifested will of the citizens of the Republic of Macedonia in the referendum of September 8th, 1991, as well as the historical fact that Macedonia is established as a national state of the Macedonian people, in which full equality as citizens and permanent co-existence with the Macedonian people is provided for Albanians, Turks, Vlachs, Romanies and other nationalities living in the Republic of Macedonia, and intent on: the establishment of the Republic of Macedonia as a sovereign and independent state, as well as a civil and democratic one; the establishment and consolidation of the rule of law as a fundamental system of government; the guaranteeing of human rights, citizens, freedoms and ethnic equality; the provision of peace and a common home for the Macedonian people with the nationalities living in the Republic of Macedonia; and on the provision of social justice, economic wellbeing and prosperity in the life of the individual and the community, the Assembly of the Republic of Macedonia adopts THE CONSTITUTION OF THE REPUBLIC OF MACEDONIA"
"madagascar",2010,"The sovereign Malagasy People, Affirming its belief in Andriamanitra Andriananahary, Resolute to promote and to develop its heritage of society living in harmony and respectful of otherness, of the wealth and of the dynamism of its cultural and spiritual values through the  fanahy maha-olona , Convinced of the necessity of the Malagasy society to recover its originality, its authenticity and its Malagasy character, and to inscribe itself in the modernity of the millennium while conserving its traditional fundamental principles and values based on the Malagasy fanahy that includes  ny fitiavana, ny fihavanana, ny fifanajna, ny fitandroana ny aina , and privileging a framework of life allowing a  living together  without distinction of region, of origin, of ethnicity, of religion, of political opinion, or of gender, Conscious that it is indispensable to implement a process of national reconciliation, Convinced that the Fokonolona, organized in Fokontany, constitutes a framework of life, of emancipation, of exchange and of participative dialog of the citizen, Persuaded of the exceptional importance of the wealth of the fauna, of the flora and of the mining resources of high specificities with which nature has provided Madagascar, and that it is important to preserve it for the future generations, Declaring that the non-respect for the Constitution or its revision with a view to reinforce the power of those governing to the detriment of the interests of the population are the causes of the cyclical crises, Considering the geopolitical situation of Madagascar and its voluntarist participation in the dialog of nations, and making its own, notably: The International Charter of the Rights of Man; The Conventions relative to the rights of the child, to the rights of women, to the protection of the environment, to the social, economical, political, civil and cultural rights, Considering that the development of the personality and of the identity of all Malagasies is the essential factor of the durable and full development of which the conditions are, notably: the preservation of peace, the practice of solidarity and the duty of preserving the national unity in the implementation of a policy of balanced and harmonious development; the respect for and protection of the fundamental freedoms and rights; The establishment of a State of law by virtue of which those governing and those governed are submitted to the same juridical norms, under the control of an independent Justice; the elimination of all forms of injustice, of corruption, of inequality and of discrimination; the rational and equitable administration of the natural resources for the needs of the development of the human being; the good governance in the conduct of public affairs, thanks to transparency in the administration and the accountability of the depositaries of the public power; the separation and the equilibrium of power exercised through democratic procedures; the implementation of effective decentralization, through the granting of the largest autonomy to the decentralized collectivities both at the level of the competences and level of financial means; the preservation of human security. Declare:"
"malawi",1994,"THE PEOPLE OF MALAWI recognizing the sanctity of human life and the unity of all mankind; guided by their private consciences and collective wisdom; seeking to guarantee the welfare and development of all the people of Malawi, national harmony and peaceful international relations; desirous of creating a constitutional order in the Republic of Malawi based on the need for an open, democratic and accountable government: HEREBY adopt the following as the Constitution of the Republic of Malawi."
"mali",1992,"The sovereign people of Mali, strong from their traditions of heroic struggle, pledge to remain faithful to the ideals of the victims of repression and the fallen martyrs of the battlefield for the rise of a state of law and pluralist democracy, affirm their volition to preserve and reinforce the democratic gains of the Revolution of March 26, 1991, solemnly undertake to defend the republican and secular form of the state, proclaim their determination to defend the rights of women and children as well as the cultural and linguistic diversity of the national community, reaffirm their determination to maintain and consolidate the national unity, undertake to assure the improvement of the quality of life, the protection of the environment and the cultural patrimony, subscribe to the Universal Declaration of the Rights of Man of December 10, 1948and to the African Charter of the Rights of Man and People of June 27, 1981, reaffirm their attachment to the realization of African Unity, to the promotion of peace, regional and international cooperation, to the peaceful resolution of differences between states in deference to justice, equality, liberty and the sovereignty of the people."
"marshall_islands",1979,"WE, THE PEOPLE OF THE REPUBLIC OF THE MARSHALL ISLANDS, trusting in God, the Giver of our life, liberty, identity and our inherent rights, do hereby exercise these rights and establish for ourselves and generations to come this Constitution, setting forth the legitimate legal framework for the governance of the Republic. We have reason to be proud of our forefathers who boldly ventured across the unknown waters of the vast Pacific Ocean many centuries ago, ably responding to the constant challenges of maintaining a bare existence on these tiny islands, in their noble quest to build their own distinctive society. This society has survived, and has withstood the test of time, the impact of other cultures, the devastation of war, and the high price paid for the purposes of international peace and security. All we have and are today as a people, we have received as a sacred heritage which we pledge ourselves to safeguard and maintain, valuing nothing more dearly than our rightful home on the islands within the traditional boundaries of this archipelago. With this Constitution, we affirm our desire and right to live in peace and harmony, subscribing to the principles of democracy, sharing the aspirations of all other peoples for a free and peaceful world, and striving to do all we can to assist in achieving this goal. We extend to other peoples what we profoundly seek from them: peace, friendship, mutual understanding, and respect for our individual idealism and our common humanity."
"mauritania",1991,"Trusting in the omnipotence of Allah, the Mauritanian people proclaim their will to guarantee the integrity of its Territory, its Independence, and its National Unity and to assume its free political, economic and social evolution. Strong from its spiritual values and from the radiation of its civilization, it also proclaims, solemnly, its attachment to Islam and to the principles of democracy as they have been defined by the Universal Declaration of the Rights of Man of 10 December 1948 and by the African Charter of the Rights of Man and of Peoples of 28 June 1981 as well as in the other international conventions to which Mauritania has subscribed. Considering that the liberty, the equality, and the dignity of Man cannot be assured except in a society which consecrates the primacy of law, concerned by creating durable conditions for a harmonious social evolution, respectful of the precepts of Islam, sole source of law and open to the exigencies of the modern world, the Mauritanian people proclaim, in particular, the intangible guarantee of the following rights and principles: the right to equality; the fundamental freedoms and rights of the human person; the right of property; the political freedoms and the trade union [syndicales] freedoms; the economic and social rights; the rights attached to the family, basic unit of the Islamic society. United throughout history, by shared moral and spiritual values and aspiring to a common future, the Mauritanian People recognize and proclaim their cultural diversity, base of national unity and of social cohesion, and its corollary, the right to be different [ la difference]. The Arabic language, official language of the country and the other national languages, the Poular, the Sonink and the Wolof, constitute, each in itself, a national common patrimony to all Mauritanians that the State must, in the name of all, preserve and promote. Conscious of the necessity of strengthening the ties with [their] brother peoples, the Mauritanian people, Muslim people, Arab and African, proclaim that they will work for the realization of the unity of the Grand Maghreb, of the Arab Nation and of Africa and for the consolidation of peace in the world."
"micronesia_federated_states_of",1981,"WE, THE PEOPLE OF MICRONESIA, exercising our inherent sovereignty, do hereby establish this Constitution of the Federated States of Micronesia. With this Constitution, we affirm our common wish to live together in peace and harmony, to preserve the heritage of the past, and to protect the promise of the future. To make one nation of many islands, we respect the diversity of our cultures. Our differences enrich us. The seas bring us together, they do not separate us. Our islands sustain us, our island nation enlarges us and makes us stronger. Our ancestors, who made their homes on these islands, displaced no other people. We, who remain, wish no other home than this. Having known war, we hope for peace. Having been divided, we wish unity. Having been ruled, we seek freedom. Micronesia began in the days when man explored seas in rafts and canoes. The Micronesian nation is born in an age when men voyage among stars; our world itself is an island. We extend to all nations what we seek from each: peace, friendship, cooperation, and love in our common humanity. With this Constitution we, who have been the wards of other nations, become the proud guardian of our own islands, now and forever."
"moldova_republic_of",1994,"WE, the plenipotentiary representatives of the people of the Republic of Moldova, members of the Parliament, STARTING from the age-old aspirations of our people to live in a sovereign country, expressed by the proclamation of independence of the Republic of Moldova, TAKING DUE ACCOUNT to the continuity of the Moldavian people statehood within the historical and ethnic framework of its growing as a nation, STRIVING to satisfy the interests of citizens of a different ethnic origin, which together with the Moldavians, constitute the Republic of Moldova people, CONSIDERING the rule of law, civic peace, democracy, human dignity, fundamental human rights and freedoms, the free development of human personality, justice and political pluralism as supreme values, BEING AWARE of our responsibility and obligations towards the previous, present and future generations, REASSERTING our devotion to overall human values and desire to live in peace and harmony with all world-wide peoples, in compliance with the unanimously acknowledged principles and norms of the international law, We herewith adopt the Constitution of the Republic of Moldova, and declare it as the SUPREME LAW OF OUR SOCIETY AND STATE."
"mongolia",1992,"We, the people of Mongolia: consolidating and strengthening the independence and sovereignty of our state, respecting and upholding the human rights and freedom, justice, and unity of our nation, inheriting and cherishing the traditions of our statehood, history and culture, considering and respecting the accomplishments of human civilization, shall aspire to the supreme goal of building and developing a humane, civic and democratic society in our motherland. Thus, do hereby proclaim and declare this Constitution of Mongolia to the entire populace."
"montenegro",2007,"Stemming from: The decision of the citizens of Montenegro to live in an independent and sovereign state of Montenegro, made in the referendum held on May 21, 2006; The commitment of the citizens of Montenegro to live in a state in which the basic values are freedom, peace, tolerance, respect for human rights and liberties, multiculturalism, democracy and the rule of law; The determination that we, as free and equal citizens, members of peoples and national minorities who live in Montenegro: Montenegrins, Serbs, Bosniacs, Albanians, Muslims, Croats and the others, are committed to democratic and civic Montenegro; The conviction that the state is responsible for the preservation of nature, sound environment, sustainable development, balanced development of all its regions and the establishment of social justice; The dedication to cooperation on equal footing with other nations and states and to the European and Euro-Atlantic integrations, the Constitutional assembly of the Republic of Montenegro, at its third sitting of the second regular session in 2007, held on 19 October 2007, adopts THE CONSTITUTION OF THE REPUBLIC OF MONTENEGRO"
"morocco",2011,"With fidelity to its irreversible choice to construct a democratic State of Law, the Kingdom of Morocco resolutely pursues the process of consolidation and of reinforcement of the institutions of a modern State, having as its bases the principles of participation, of pluralism and of good governance. It develops a society of solidarity where all enjoy security, liberty, equality of opportunities, of respect for their dignity and for social justice, within the framework of the principle of correlation between the rights and the duties of the citizenry. A sovereign Muslim State, attached to its national unity and to its territorial integrity, the Kingdom of Morocco intends to preserve, in its plentitude and its diversity, its one and indivisible national identity. Its unity, is forged by the convergence of its Arab-Islamist, Berber [amazighe] and Saharan-Hassanic [saharo-hassanie] components, nourished and enriched by its African, Andalusian, Hebraic and Mediterranean influences [affluents]. The preeminence accorded to the Muslim religion in the national reference is consistent with [va de pair] the attachment of the Moroccan people to the values of openness, of moderation, of tolerance and of dialog for mutual understanding between all the cultures and the civilizations of the world. Considering the imperative to reinforce the role which belongs to it on the international scene, the Kingdom of Morocco, active member within the international organizations, is committed to subscribe to the principles, rights and obligations enounced in their respective charters and conventions; it affirms its attachment to the Rights of Man such as they are universally recognized, as well as its will to continue to work to preserve peace and security in the world. Founded on these values and these immutable principles, and strong in its firm will to reaffirm the bonds of fraternity, or cooperation, or solidarity and of constructive partnership with all other States, and to work for common progress, the Kingdom of Morocco, [a] united State, totally sovereign, belonging the Grand Maghreb, reaffirms that which follows and commits itself: To work for the construction of the Union of the Maghreb, as [a] strategic option; To deepen the bonds of togetherness with the Arab and Islamist Ummah [Oumma], and to reinforce the bonds of fraternity and of solidarity with its brother peoples; To consolidate relations of cooperation and of solidarity with the peoples and the countries of Africa, notably the sub-Saharan countries and the [countries] of the Sahel; To intensify relations of cooperation, of rapprochement and of partnership with neighboring Euro-Mediterranean countries; To enlarge and to diversify its relations of amity and of its rapport with human, economic, scientific, technical and cultural exchange with the countries of the world; To reinforce South-South cooperation [cooperation Sud-Sud]; To protect and to promote the mechanisms [dispositifs] of the Rights of Man and of international humanitarian law and to contribute to their development within their indivisibility and their universality; To ban and combat all discrimination whenever it encounters it, for reason of sex, or color, of beliefs, of culture, of social or regional origin, of language, of handicap or whatever personal circumstance that may be; To comply with [accorder] the international conventions duly ratified by it, within the framework of the provisions of the Constitution and of the laws of the Kingdom, within respect for its immutable national identity, and on the publication of these conventions, [their] primacy over the internal law of the country, and to harmonize in consequence the pertinent provisions of national legislation. This Preamble is made [an] integral part of this Constitution."
"mozambique",2004,"Meeting the age-old desires of our people, the armed struggle for national liberation, whose purpose was to liberate the land and Man, brought together all the patriotic sectors of Mozambican society in the same ideals of freedom, unity, justice and progress. When national independence was won on the 25th of June 1975, the Mozambican people were given back their fundamental rights and freedoms. The Constitution of 1990 introduced the democratic rule of law, based on the separation and interdependence of powers and on pluralism. It laid down the structural parameters for modernisation, making a decisive contribution to the beginning of a democratic climate that led the country to its first multiparty elections. This Constitution reaffirms, develops and deepens the fundamental principles of the Mozambican State, and enshrines the sovereign nature of the democratic rule of law, based on pluralism of expression and partisan organisation and on respect for and the guarantee of fundamental rights and liberties of citizens. The extensive participation of citizens in making this basic law conveys the consensus to strengthen democracy and national unity, which flows from the collective wisdom of the people."
