"study","treatment","therm1","therm2","therm3","therm4"
1,"No Contact",54,54,NA,NA
1,"No Contact",39,39,NA,NA
1,"No Contact",46,46,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",62,65,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",91,91,NA,NA
1,"Recycling Script by Gay Canvasser",100,100,NA,NA
1,"No Contact",38,38,NA,NA
1,"Recycling Script by Straight Canvasser",59,59,NA,NA
1,"Recycling Script by Straight Canvasser",86,86,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",51,51,NA,NA
1,"No Contact",88,NA,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",61,61,NA,NA
1,"Recycling Script by Gay Canvasser",58,58,NA,NA
1,"No Contact",2,NA,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",18,NA,NA,NA
1,"No Contact",52,NA,NA,NA
1,"No Contact",21,21,NA,NA
1,"Recycling Script by Straight Canvasser",50,56,NA,NA
1,"Recycling Script by Straight Canvasser",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",88,90,NA,NA
1,"No Contact",100,98,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",60,60,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",27,27,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",100,98,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",37,37,NA,NA
1,"No Contact",61,61,NA,NA
1,"No Contact",50,39,NA,NA
1,"No Contact",90,90,NA,NA
1,"Recycling Script by Gay Canvasser",60,60,NA,NA
1,"Recycling Script by Gay Canvasser",88,88,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",51,51,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",9,9,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",80,80,NA,NA
1,"No Contact",74,74,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",99,99,NA,NA
1,"No Contact",59,NA,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",100,100,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",7,7,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",91,91,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",51,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,98,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",50,56,NA,NA
1,"No Contact",50,44,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",78,78,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",4,4,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",69,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",46,46,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",82,82,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",27,27,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",25,25,NA,NA
1,"No Contact",7,NA,NA,NA
1,"No Contact",50,53,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,56,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",72,72,NA,NA
1,"No Contact",49,49,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,97,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",72,71,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",50,47,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",63,63,NA,NA
1,"Recycling Script by Gay Canvasser",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",78,78,NA,NA
1,"Recycling Script by Gay Canvasser",56,56,NA,NA
1,"No Contact",50,46,NA,NA
1,"No Contact",50,48,NA,NA
1,"No Contact",49,49,NA,NA
1,"No Contact",91,NA,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",2,2,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",48,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",52,52,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",15,15,NA,NA
1,"No Contact",69,69,NA,NA
1,"No Contact",36,36,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",2,2,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,49,NA,NA
1,"No Contact",25,25,NA,NA
1,"No Contact",79,79,NA,NA
1,"No Contact",71,71,NA,NA
1,"No Contact",100,97,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",81,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",51,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",51,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,46,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,NA,NA,NA
1,"No Contact",2,2,NA,NA
1,"No Contact",31,31,NA,NA
1,"No Contact",2,2,NA,NA
1,"No Contact",50,44,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,60,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,46,NA,NA
1,"Recycling Script by Straight Canvasser",53,53,NA,NA
1,"Recycling Script by Straight Canvasser",97,97,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",65,65,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",99,99,NA,NA
1,"Recycling Script by Gay Canvasser",30,26,NA,NA
1,"Recycling Script by Gay Canvasser",90,90,NA,NA
1,"No Contact",1,1,NA,NA
1,"No Contact",50,53,NA,NA
1,"No Contact",93,93,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",100,95,NA,NA
1,"No Contact",53,53,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",52,52,NA,NA
1,"Recycling Script by Gay Canvasser",15,15,NA,NA
1,"No Contact",7,7,NA,NA
1,"No Contact",52,NA,NA,NA
1,"No Contact",98,NA,NA,NA
1,"No Contact",40,40,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",80,80,NA,NA
1,"No Contact",96,NA,NA,NA
1,"No Contact",50,57,NA,NA
1,"No Contact",85,85,NA,NA
1,"No Contact",50,48,NA,NA
1,"No Contact",50,48,NA,NA
1,"No Contact",90,90,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",70,70,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",72,72,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",90,90,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",77,77,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",2,2,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",59,59,NA,NA
1,"No Contact",96,96,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",53,53,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",71,71,NA,NA
1,"No Contact",78,78,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",42,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,50,NA,NA
1,"No Contact",45,45,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",6,6,NA,NA
1,"No Contact",62,62,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",85,85,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",97,97,NA,NA
1,"No Contact",31,31,NA,NA
1,"No Contact",55,55,NA,NA
1,"No Contact",25,NA,NA,NA
1,"No Contact",1,1,NA,NA
1,"No Contact",13,13,NA,NA
1,"No Contact",5,5,NA,NA
1,"No Contact",50,49,NA,NA
1,"No Contact",50,56,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",42,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",61,61,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",60,60,NA,NA
1,"No Contact",95,95,NA,NA
1,"No Contact",100,99,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",6,6,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",87,87,NA,NA
1,"Recycling Script by Gay Canvasser",97,NA,NA,NA
1,"Recycling Script by Gay Canvasser",52,52,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",98,98,NA,NA
1,"No Contact",48,48,NA,NA
1,"No Contact",13,13,NA,NA
1,"No Contact",4,4,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",45,45,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,94,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",46,47,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",53,57,NA,NA
1,"No Contact",88,88,NA,NA
1,"No Contact",2,2,NA,NA
1,"No Contact",50,42,NA,NA
1,"Recycling Script by Straight Canvasser",9,9,NA,NA
1,"Recycling Script by Straight Canvasser",100,93,NA,NA
1,"Recycling Script by Straight Canvasser",50,NA,NA,NA
1,"Recycling Script by Straight Canvasser",3,3,NA,NA
1,"No Contact",50,54,NA,NA
1,"No Contact",71,71,NA,NA
1,"No Contact",31,31,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",76,76,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",51,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",74,74,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,51,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",81,81,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",91,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",46,46,NA,NA
1,"Recycling Script by Straight Canvasser",69,75,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",87,87,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",2,2,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,NA,NA,NA
1,"No Contact",10,10,NA,NA
1,"No Contact",52,NA,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",50,46,NA,NA
1,"Recycling Script by Gay Canvasser",50,53,NA,NA
1,"Recycling Script by Gay Canvasser",50,51,NA,NA
1,"No Contact",74,74,NA,NA
1,"No Contact",50,55,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",20,20,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",41,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",97,99,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",31,NA,NA,NA
1,"No Contact",100,96,NA,NA
1,"No Contact",30,NA,NA,NA
1,"No Contact",35,35,NA,NA
1,"No Contact",92,92,NA,NA
1,"No Contact",20,20,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",69,69,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",69,69,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",81,81,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,97,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",84,84,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",3,3,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",87,87,NA,NA
1,"No Contact",5,5,NA,NA
1,"No Contact",40,40,NA,NA
1,"No Contact",5,5,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",87,87,NA,NA
1,"No Contact",86,NA,NA,NA
1,"No Contact",35,35,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",56,66,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",84,82,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",5,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",80,80,NA,NA
1,"No Contact",10,10,NA,NA
1,"No Contact",63,63,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",71,73,78,83
1,"No Contact",83,83,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",59,59,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,92,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",75,75,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",77,77,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,52,NA,NA
1,"No Contact",16,16,NA,NA
1,"Recycling Script by Gay Canvasser",1,NA,NA,NA
1,"No Contact",33,33,NA,NA
1,"No Contact",30,30,NA,NA
1,"Recycling Script by Gay Canvasser",40,40,NA,NA
1,"Recycling Script by Gay Canvasser",2,2,NA,NA
1,"No Contact",50,48,NA,NA
1,"No Contact",89,89,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",73,73,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",71,71,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,50,NA,NA
1,"No Contact",85,85,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",2,2,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",84,84,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,45,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",88,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,47,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",53,53,NA,NA
1,"No Contact",50,45,NA,NA
1,"No Contact",61,61,NA,NA
1,"No Contact",81,81,NA,NA
1,"No Contact",49,49,NA,NA
1,"No Contact",7,7,NA,NA
1,"Recycling Script by Gay Canvasser",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",50,48,NA,NA
1,"No Contact",87,87,NA,NA
1,"No Contact",84,84,NA,NA
1,"No Contact",80,80,NA,NA
1,"Recycling Script by Gay Canvasser",13,13,NA,NA
1,"Recycling Script by Gay Canvasser",99,96,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",66,66,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",52,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",63,63,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",39,NA,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",60,60,NA,NA
1,"No Contact",50,43,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,97,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",85,85,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",50,45,NA,NA
1,"Recycling Script by Gay Canvasser",81,81,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",3,3,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",2,2,NA,NA
1,"Recycling Script by Gay Canvasser",4,0,NA,NA
1,"No Contact",80,80,NA,NA
1,"Recycling Script by Straight Canvasser",50,50,NA,NA
1,"No Contact",68,68,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",60,60,NA,NA
1,"Recycling Script by Gay Canvasser",90,88,NA,NA
1,"Recycling Script by Gay Canvasser",52,52,NA,NA
1,"No Contact",40,40,NA,NA
1,"No Contact",88,88,NA,NA
1,"Recycling Script by Gay Canvasser",9,9,NA,NA
1,"Recycling Script by Gay Canvasser",50,46,NA,NA
1,"Recycling Script by Gay Canvasser",6,NA,NA,NA
1,"Recycling Script by Gay Canvasser",50,52,NA,NA
1,"Recycling Script by Gay Canvasser",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",7,NA,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",50,47,NA,NA
1,"No Contact",97,97,NA,NA
1,"No Contact",50,57,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",54,54,NA,NA
1,"No Contact",71,71,NA,NA
1,"No Contact",63,63,NA,NA
1,"Recycling Script by Gay Canvasser",72,72,NA,NA
1,"Recycling Script by Gay Canvasser",91,91,NA,NA
1,"Recycling Script by Gay Canvasser",81,81,NA,NA
1,"No Contact",69,69,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",86,86,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",95,95,NA,NA
1,"No Contact",98,98,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",7,7,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",42,42,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",89,89,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",7,7,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",95,95,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,54,NA,NA
1,"No Contact",1,1,NA,NA
1,"No Contact",66,66,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",50,52,NA,NA
1,"No Contact",50,47,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",91,91,NA,NA
1,"No Contact",98,98,NA,NA
1,"No Contact",85,NA,NA,NA
1,"No Contact",93,93,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",55,55,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,47,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",90,90,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"No Contact",71,71,NA,NA
1,"No Contact",53,53,NA,NA
1,"No Contact",50,48,NA,NA
1,"No Contact",30,30,NA,NA
1,"No Contact",50,54,NA,NA
1,"No Contact",47,47,NA,NA
1,"Recycling Script by Straight Canvasser",77,71,NA,NA
1,"Recycling Script by Straight Canvasser",99,99,NA,NA
1,"No Contact",51,NA,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",34,34,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",42,42,NA,NA
1,"No Contact",26,26,NA,NA
1,"Recycling Script by Straight Canvasser",56,56,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",50,51,NA,NA
1,"Recycling Script by Gay Canvasser",31,NA,NA,NA
1,"Recycling Script by Gay Canvasser",91,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",63,63,NA,NA
1,"Recycling Script by Straight Canvasser",50,53,NA,NA
1,"No Contact",50,46,NA,NA
1,"Recycling Script by Straight Canvasser",84,84,NA,NA
1,"No Contact",60,60,NA,NA
1,"No Contact",3,3,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",62,62,NA,NA
1,"No Contact",90,90,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",90,90,NA,NA
1,"No Contact",1,1,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",90,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",93,100,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,50,NA,NA
1,"No Contact",46,46,NA,NA
1,"No Contact",50,46,NA,NA
1,"No Contact",50,47,NA,NA
1,"No Contact",2,2,NA,NA
1,"No Contact",55,55,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,96,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",50,55,NA,NA
1,"Recycling Script by Straight Canvasser",59,59,NA,NA
1,"No Contact",86,86,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",50,44,NA,NA
1,"No Contact",50,55,NA,NA
1,"Recycling Script by Straight Canvasser",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",74,74,NA,NA
1,"Recycling Script by Straight Canvasser",50,56,NA,NA
1,"No Contact",50,47,NA,NA
1,"Recycling Script by Straight Canvasser",50,51,NA,NA
1,"Recycling Script by Straight Canvasser",1,1,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",4,4,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",46,46,NA,NA
1,"No Contact",51,51,NA,NA
1,"Recycling Script by Straight Canvasser",50,NA,NA,NA
1,"Recycling Script by Straight Canvasser",71,71,NA,NA
1,"Recycling Script by Straight Canvasser",2,2,NA,NA
1,"No Contact",99,99,NA,NA
1,"No Contact",60,NA,NA,NA
1,"No Contact",53,53,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",100,93,NA,NA
1,"No Contact",82,82,NA,NA
1,"No Contact",50,57,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",99,100,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"No Contact",78,78,NA,NA
1,"No Contact",33,33,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",86,86,NA,NA
1,"No Contact",93,93,NA,NA
1,"No Contact",50,47,NA,NA
1,"No Contact",60,NA,NA,NA
1,"No Contact",3,3,NA,NA
1,"No Contact",2,2,NA,NA
1,"No Contact",50,47,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
1,"No Contact",91,91,NA,NA
1,"Recycling Script by Straight Canvasser",35,35,NA,NA
1,"No Contact",98,98,NA,NA
1,"No Contact",34,34,NA,NA
1,"No Contact",50,46,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",100,NA,NA,NA
1,"Recycling Script by Gay Canvasser",60,60,NA,NA
1,"Recycling Script by Gay Canvasser",50,NA,NA,NA
1,"Recycling Script by Gay Canvasser",20,20,NA,NA
1,"Recycling Script by Gay Canvasser",77,77,NA,NA
1,"Recycling Script by Gay Canvasser",50,43,NA,NA
1,"No Contact",97,97,NA,NA
1,"No Contact",79,79,NA,NA
1,"No Contact",50,53,NA,NA
1,"No Contact",81,81,NA,NA
1,"No Contact",21,21,NA,NA
1,"No Contact",52,52,NA,NA
1,"Recycling Script by Straight Canvasser",13,13,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",11,NA,NA,NA
1,"No Contact",50,45,NA,NA
1,"No Contact",70,70,NA,NA
1,"Recycling Script by Gay Canvasser",7,7,NA,NA
1,"Recycling Script by Gay Canvasser",99,100,NA,NA
1,"No Contact",80,80,NA,NA
1,"No Contact",51,NA,NA,NA
1,"No Contact",79,79,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",50,47,NA,NA
1,"No Contact",60,60,NA,NA
1,"No Contact",80,80,NA,NA
1,"No Contact",6,6,NA,NA
1,"No Contact",55,55,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",80,80,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",80,80,NA,NA
1,"No Contact",7,NA,NA,NA
1,"No Contact",50,51,NA,NA
1,"Recycling Script by Straight Canvasser",11,11,NA,NA
1,"Recycling Script by Straight Canvasser",1,NA,NA,NA
1,"Recycling Script by Gay Canvasser",90,90,NA,NA
1,"Recycling Script by Gay Canvasser",50,53,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",57,57,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,48,NA,NA
1,"No Contact",90,90,NA,NA
1,"No Contact",1,1,NA,NA
1,"No Contact",31,31,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",100,96,NA,NA
1,"No Contact",50,47,NA,NA
1,"Recycling Script by Gay Canvasser",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",87,87,NA,NA
1,"No Contact",31,31,NA,NA
1,"No Contact",52,52,NA,NA
1,"Recycling Script by Gay Canvasser",50,48,NA,NA
1,"No Contact",5,5,NA,NA
1,"No Contact",51,51,NA,NA
1,"Recycling Script by Straight Canvasser",50,NA,NA,NA
1,"Recycling Script by Straight Canvasser",50,48,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",32,32,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",52,52,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",50,55,NA,NA
1,"No Contact",57,57,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",51,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",52,52,NA,NA
1,"Recycling Script by Gay Canvasser",72,NA,NA,NA
1,"Recycling Script by Gay Canvasser",50,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",84,82,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,49,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",94,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",54,52,NA,NA
1,"No Contact",56,56,NA,NA
1,"No Contact",21,21,NA,NA
1,"No Contact",19,19,NA,NA
1,"No Contact",83,83,NA,NA
1,"Recycling Script by Straight Canvasser",65,65,NA,NA
1,"Recycling Script by Straight Canvasser",87,87,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",53,53,NA,NA
1,"No Contact",50,45,NA,NA
1,"No Contact",94,94,NA,NA
1,"No Contact",100,97,NA,NA
1,"Recycling Script by Gay Canvasser",50,49,NA,NA
1,"Recycling Script by Straight Canvasser",1,1,NA,NA
1,"Recycling Script by Straight Canvasser",20,20,NA,NA
1,"Recycling Script by Gay Canvasser",84,81,NA,NA
1,"Recycling Script by Gay Canvasser",91,91,NA,NA
1,"No Contact",9,9,NA,NA
1,"No Contact",45,45,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",53,53,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",62,62,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",85,85,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",32,30,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",6,6,NA,NA
1,"No Contact",69,69,NA,NA
1,"No Contact",50,44,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",88,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",80,80,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",64,64,NA,NA
1,"No Contact",52,NA,NA,NA
1,"No Contact",77,77,NA,NA
1,"No Contact",10,10,NA,NA
1,"No Contact",88,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,96,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",60,60,NA,NA
1,"No Contact",100,97,NA,NA
1,"No Contact",37,NA,NA,NA
1,"No Contact",74,74,NA,NA
1,"No Contact",50,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",98,100,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",4,5,NA,NA
1,"No Contact",53,53,NA,NA
1,"No Contact",91,91,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,65,NA,NA
1,"Recycling Script by Gay Canvasser",72,72,NA,NA
1,"Recycling Script by Gay Canvasser",65,NA,NA,NA
1,"Recycling Script by Gay Canvasser",100,100,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",57,NA,NA,NA
1,"No Contact",96,NA,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",95,95,NA,NA
1,"No Contact",50,50,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"No Contact",95,95,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",95,95,NA,NA
